,length,diameter,propeller_diameter,LD_effective,S_wetted,volume,mass_total,mass_payload,mass_structural,mass_propulsion,power,solar_area_fraction,mass_battery,BATTERY_SPECIFIC_ENERGY,S_solar,score
363,100.00000099975288,5.566716339375979,28.65090093261463,28.499355091680297,1361.5199240054108,1622.5452228539805,1719.8011965363419,30.0,203.19609981630225,1478.4942017081,11268.266609503538,1.5981508941722518,1001.6236986225367,225.0,698.7257677556688,-0.0
318,100.00000099976447,11.67063436728914,29.4689236863084,77.19233221084741,2874.2040021228736,7131.609468664299,7559.080834938448,30.0,428.9522562326116,7090.596212547302,15416.955599002084,1.0429510325682483,6509.381252911991,225.0,955.9788129509293,-0.0
364,100.00000099976853,6.223790749939382,27.366960086043424,31.71784998195382,1523.138780505168,2028.1897907045275,2149.7602530819986,30.0,227.3164382105502,1883.841405422569,12631.585414364816,1.6023693905547316,1403.5094904849796,225.0,783.2628142805562,-0.0
340,100.00000099976927,9.081952231949188,28.411470691482567,52.464346477107725,2229.3523260961965,4318.739942225694,4577.606846206058,30.0,332.7132345199144,4205.501731012449,14978.94908830758,1.3021526264360537,3661.520888252964,225.0,928.8187850537477,-0.0
341,100.00000099978628,9.77298708404535,27.07626221560519,56.08450701405888,2400.9687756620533,5000.958795473817,5300.718155310669,30.0,358.32563475091143,4902.6086737752385,16216.29868823107,1.310038834993207,4324.346316861619,225.0,1005.5446985549015,-0.0
365,100.00000099978811,6.96188025325979,27.08565570025063,35.283898469894716,1704.9927662774219,2537.766876925221,2689.8815824099615,30.0,254.45670989769775,2396.293743123859,14182.212018297101,1.6083374868671583,1890.9616024396134,225.0,879.4144942045268,-0.0
319,100.00000099978878,12.284338192326707,28.97324906471572,80.68355603803838,3027.901546933691,7901.365560323588,8374.976397593786,30.0,451.89040139395655,7883.265590750977,16334.132551929117,1.049793963740892,7259.614467524052,225.0,1012.8513731068326,-0.0
366,100.00000099980275,7.731827189059121,25.68144764508203,38.94430509469926,1895.06658188925,3130.133813722754,3317.7552172468895,30.0,282.82372629500827,2995.2681552335516,15830.804043988941,1.6165181842260525,2462.569517953835,225.0,981.6408408811214,-0.0
342,100.0000009998129,10.517839740343863,26.41749686092537,59.90725275645715,2586.368038562089,5792.309041768439,6139.502234391622,30.0,385.9950110603505,5713.309764549661,17573.544407242352,1.3191451159729028,5076.8017176477915,225.0,1089.7051635060443,-0.0
320,100.00000099981405,12.913224682191707,28.507388935627432,84.1823789598845,3185.749859006874,8731.081492061443,9254.42581580091,30.0,475.44801579999427,8738.86465163773,17292.593779583643,1.0572682536572875,8069.877097139033,225.0,1072.2838998977882,-0.0
