,Time,Wind Speed,DNI
297,2021-07-13 09:30:00,3.0,115
298,2021-07-13 10:30:00,5.0,172
299,2021-07-13 11:30:00,6.0,714
300,2021-07-13 12:30:00,8.0,741
301,2021-07-13 13:30:00,7.0,758
302,2021-07-13 14:30:00,3.0,723
303,2021-07-13 15:30:00,7.0,663
304,2021-07-13 16:30:00,9.0,563
305,2021-07-13 17:30:00,13.0,401
306,2021-07-13 18:30:00,10.0,144
307,2021-07-13 19:30:00,7.0,0
308,2021-07-13 20:30:00,6.0,0
309,2021-07-13 21:30:00,5.0,0
310,2021-07-13 22:30:00,5.0,0
311,2021-07-13 23:30:00,6.0,0
312,2021-07-14 00:30:00,6.0,0
313,2021-07-14 01:30:00,5.0,0
314,2021-07-14 02:30:00,3.0,0
315,2021-07-14 03:30:00,5.0,0
316,2021-07-14 04:30:00,6.0,0
317,2021-07-14 05:30:00,3.0,149
318,2021-07-14 06:30:00,7.0,394
319,2021-07-14 07:30:00,3.0,545
320,2021-07-14 08:30:00,3.0,637
321,2021-07-14 09:30:00,9.0,685
322,2021-07-14 10:30:00,12.0,708
323,2021-07-14 11:30:00,12.0,724
324,2021-07-14 12:30:00,14.0,726
325,2021-07-14 13:30:00,14.0,715
326,2021-07-14 14:30:00,12.0,692
327,2021-07-14 15:30:00,10.0,638
328,2021-07-14 16:30:00,12.0,557
329,2021-07-14 17:30:00,10.0,411
330,2021-07-14 18:30:00,7.0,157
331,2021-07-14 19:30:00,8.0,0
332,2021-07-14 20:30:00,9.0,0
333,2021-07-14 21:30:00,8.0,0
334,2021-07-14 22:30:00,7.0,0
335,2021-07-14 23:30:00,8.0,0
336,2021-07-15 00:30:00,7.0,0
337,2021-07-15 01:30:00,7.0,0
338,2021-07-15 02:30:00,7.0,0
339,2021-07-15 03:30:00,7.0,0
340,2021-07-15 04:30:00,5.0,0
341,2021-07-15 05:30:00,7.0,243
342,2021-07-15 06:30:00,0.0,536
343,2021-07-15 07:30:00,3.0,689
344,2021-07-15 08:30:00,0.0,776
345,2021-07-15 09:30:00,3.0,799
346,2021-07-15 10:30:00,,792
347,2021-07-15 11:30:00,8.0,804
348,2021-07-15 12:30:00,8.0,796
349,2021-07-15 13:30:00,10.0,771
350,2021-07-15 14:30:00,12.0,737
351,2021-07-15 15:30:00,13.0,678
352,2021-07-15 16:30:00,10.0,586
353,2021-07-15 17:30:00,9.0,430
354,2021-07-15 18:30:00,9.0,165
355,2021-07-15 19:30:00,8.0,0
356,2021-07-15 20:30:00,9.0,0
357,2021-07-15 21:30:00,6.0,0
358,2021-07-15 22:30:00,6.0,0
359,2021-07-15 23:30:00,6.0,0
360,2021-07-16 00:30:00,8.0,0
361,2021-07-16 01:30:00,8.0,0
362,2021-07-16 02:30:00,5.0,0
363,2021-07-16 03:30:00,3.0,0
364,2021-07-16 04:30:00,7.0,0
365,2021-07-16 05:30:00,6.0,180
366,2021-07-16 06:30:00,0.0,194
367,2021-07-16 07:30:00,0.0,622
368,2021-07-16 08:30:00,3.0,720
369,2021-07-16 09:30:00,6.0,790
370,2021-07-16 10:30:00,7.0,835
371,2021-07-16 11:30:00,5.0,846
372,2021-07-16 12:30:00,10.0,838
373,2021-07-16 13:30:00,10.0,816
374,2021-07-16 14:30:00,12.0,789
375,2021-07-16 15:30:00,9.0,738
376,2021-07-16 16:30:00,12.0,661
377,2021-07-16 17:30:00,10.0,516
378,2021-07-16 18:30:00,10.0,230
379,2021-07-16 19:30:00,8.0,0
380,2021-07-16 20:30:00,9.0,0
381,2021-07-16 21:30:00,8.0,0
382,2021-07-16 22:30:00,8.0,0
383,2021-07-16 23:30:00,5.0,0
384,2021-07-17 00:30:00,5.0,0
385,2021-07-17 01:30:00,7.0,0
386,2021-07-17 02:30:00,5.0,0
387,2021-07-17 03:30:00,5.0,0
388,2021-07-17 04:30:00,7.0,0
389,2021-07-17 05:30:00,0.0,141
390,2021-07-17 06:30:00,3.0,516
391,2021-07-17 07:30:00,0.0,664
392,2021-07-17 08:30:00,5.0,745
393,2021-07-17 09:30:00,7.0,791
394,2021-07-17 10:30:00,7.0,817
395,2021-07-17 11:30:00,7.0,823
396,2021-07-17 12:30:00,6.0,813
397,2021-07-17 13:30:00,12.0,790
398,2021-07-17 14:30:00,12.0,762
399,2021-07-17 15:30:00,13.0,709
400,2021-07-17 16:30:00,12.0,625
401,2021-07-17 17:30:00,10.0,470
402,2021-07-17 18:30:00,8.0,175
403,2021-07-17 19:30:00,10.0,0
404,2021-07-17 20:30:00,6.0,0
405,2021-07-17 21:30:00,6.0,0
406,2021-07-17 22:30:00,5.0,0
407,2021-07-17 23:30:00,0.0,0
408,2021-07-18 00:30:00,0.0,0
409,2021-07-18 01:30:00,3.0,0
410,2021-07-18 02:30:00,6.0,0
411,2021-07-18 03:30:00,5.0,0
412,2021-07-18 04:30:00,0.0,0
413,2021-07-18 05:30:00,0.0,2
414,2021-07-18 06:30:00,6.0,0
415,2021-07-18 07:30:00,0.0,0
416,2021-07-18 08:30:00,0.0,50
417,2021-07-18 09:30:00,0.0,589
418,2021-07-18 10:30:00,3.0,776
419,2021-07-18 11:30:00,7.0,654
420,2021-07-18 12:30:00,9.0,812
421,2021-07-18 13:30:00,12.0,793
422,2021-07-18 14:30:00,12.0,763
423,2021-07-18 15:30:00,8.0,704
424,2021-07-18 16:30:00,9.0,603
425,2021-07-18 17:30:00,10.0,442
426,2021-07-18 18:30:00,5.0,159
427,2021-07-18 19:30:00,6.0,0
428,2021-07-18 20:30:00,9.0,0
429,2021-07-18 21:30:00,8.0,0
430,2021-07-18 22:30:00,9.0,0
431,2021-07-18 23:30:00,9.0,0
432,2021-07-19 00:30:00,6.0,0
433,2021-07-19 01:30:00,6.0,0
434,2021-07-19 02:30:00,0.0,0
435,2021-07-19 03:30:00,3.0,0
436,2021-07-19 04:30:00,3.0,0
437,2021-07-19 05:30:00,3.0,194
438,2021-07-19 06:30:00,3.0,505
439,2021-07-19 07:30:00,5.0,664
440,2021-07-19 08:30:00,0.0,755
441,2021-07-19 09:30:00,5.0,818
442,2021-07-19 10:30:00,9.0,859
443,2021-07-19 11:30:00,5.0,875
444,2021-07-19 12:30:00,8.0,880
445,2021-07-19 13:30:00,8.0,873
446,2021-07-19 14:30:00,13.0,853
447,2021-07-19 15:30:00,12.0,809
448,2021-07-19 16:30:00,12.0,743
449,2021-07-19 17:30:00,8.0,605
450,2021-07-19 18:30:00,7.0,298
451,2021-07-19 19:30:00,8.0,0
452,2021-07-19 20:30:00,9.0,0
453,2021-07-19 21:30:00,8.0,0
454,2021-07-19 22:30:00,8.0,0
455,2021-07-19 23:30:00,8.0,0
456,2021-07-20 00:30:00,8.0,0
457,2021-07-20 01:30:00,3.0,0
458,2021-07-20 02:30:00,5.0,0
459,2021-07-20 03:30:00,0.0,0
460,2021-07-20 04:30:00,0.0,0
461,2021-07-20 05:30:00,0.0,292
462,2021-07-20 06:30:00,0.0,604
463,2021-07-20 07:30:00,3.0,751
464,2021-07-20 08:30:00,5.0,832
465,2021-07-20 09:30:00,0.0,875
466,2021-07-20 10:30:00,3.0,896
467,2021-07-20 11:30:00,6.0,907
468,2021-07-20 12:30:00,5.0,906
469,2021-07-20 13:30:00,12.0,894
470,2021-07-20 14:30:00,10.0,871
471,2021-07-20 15:30:00,10.0,828
472,2021-07-20 16:30:00,8.0,761
473,2021-07-20 17:30:00,9.0,619
474,2021-07-20 18:30:00,13.0,303
475,2021-07-20 19:30:00,8.0,0
476,2021-07-20 20:30:00,10.0,0
477,2021-07-20 21:30:00,9.0,0
478,2021-07-20 22:30:00,10.0,0
479,2021-07-20 23:30:00,8.0,0
480,2021-07-21 00:30:00,3.0,0
481,2021-07-21 01:30:00,0.0,0
482,2021-07-21 02:30:00,0.0,0
483,2021-07-21 03:30:00,0.0,0
484,2021-07-21 04:30:00,0.0,0
485,2021-07-21 05:30:00,0.0,103
486,2021-07-21 06:30:00,5.0,524
487,2021-07-21 07:30:00,0.0,679
488,2021-07-21 08:30:00,5.0,765
489,2021-07-21 09:30:00,5.0,818
490,2021-07-21 10:30:00,5.0,847
491,2021-07-21 11:30:00,3.0,860
492,2021-07-21 12:30:00,7.0,865
493,2021-07-21 13:30:00,6.0,860
494,2021-07-21 14:30:00,12.0,834
495,2021-07-21 15:30:00,13.0,785
496,2021-07-21 16:30:00,10.0,706
497,2021-07-21 17:30:00,10.0,559
498,2021-07-21 18:30:00,8.0,249
499,2021-07-21 19:30:00,8.0,0
500,2021-07-21 20:30:00,,0
501,2021-07-21 21:30:00,,0
502,2021-07-21 22:30:00,,0
503,2021-07-21 23:30:00,8.0,0
504,2021-07-22 00:30:00,,0
505,2021-07-22 01:30:00,,0
506,2021-07-22 02:30:00,6.0,0
507,2021-07-22 03:30:00,6.0,0
508,2021-07-22 04:30:00,6.0,0
509,2021-07-22 05:30:00,5.0,189
510,2021-07-22 06:30:00,0.0,484
511,2021-07-22 07:30:00,,633
512,2021-07-22 08:30:00,6.0,722
513,2021-07-22 09:30:00,6.0,760
514,2021-07-22 10:30:00,7.0,769
515,2021-07-22 11:30:00,13.0,789
516,2021-07-22 12:30:00,13.0,797
517,2021-07-22 13:30:00,9.0,784
518,2021-07-22 14:30:00,9.0,746
519,2021-07-22 15:30:00,10.0,685
520,2021-07-22 16:30:00,14.0,576
521,2021-07-22 17:30:00,12.0,400
522,2021-07-22 18:30:00,12.0,126
523,2021-07-22 19:30:00,6.0,0
524,2021-07-22 20:30:00,8.0,0
525,2021-07-22 21:30:00,7.0,0
526,2021-07-22 22:30:00,8.0,0
527,2021-07-22 23:30:00,0.0,0
528,2021-07-23 00:30:00,5.0,0
529,2021-07-23 01:30:00,3.0,0
530,2021-07-23 02:30:00,0.0,0
531,2021-07-23 03:30:00,6.0,0
532,2021-07-23 04:30:00,3.0,0
533,2021-07-23 05:30:00,6.0,158
534,2021-07-23 06:30:00,5.0,415
535,2021-07-23 07:30:00,3.0,624
536,2021-07-23 08:30:00,0.0,722
537,2021-07-23 09:30:00,8.0,767
538,2021-07-23 10:30:00,8.0,780
539,2021-07-23 11:30:00,8.0,790
540,2021-07-23 12:30:00,7.0,721
541,2021-07-23 13:30:00,10.0,805
542,2021-07-23 14:30:00,10.0,731
543,2021-07-23 15:30:00,12.0,712
544,2021-07-23 16:30:00,12.0,605
545,2021-07-23 17:30:00,14.0,433
546,2021-07-23 18:30:00,10.0,155
547,2021-07-23 19:30:00,8.0,0
548,2021-07-23 20:30:00,6.0,0
549,2021-07-23 21:30:00,5.0,0
550,2021-07-23 22:30:00,5.0,0
551,2021-07-23 23:30:00,9.0,0
552,2021-07-24 00:30:00,8.0,0
553,2021-07-24 01:30:00,5.0,0
554,2021-07-24 02:30:00,5.0,0
555,2021-07-24 03:30:00,3.0,0
556,2021-07-24 04:30:00,0.0,0
557,2021-07-24 05:30:00,5.0,114
558,2021-07-24 06:30:00,5.0,422
559,2021-07-24 07:30:00,0.0,590
560,2021-07-24 08:30:00,3.0,583
561,2021-07-24 09:30:00,6.0,734
562,2021-07-24 10:30:00,9.0,761
563,2021-07-24 11:30:00,8.0,451
564,2021-07-24 12:30:00,10.0,410
565,2021-07-24 13:30:00,8.0,311
566,2021-07-24 14:30:00,9.0,381
567,2021-07-24 15:30:00,10.0,190
568,2021-07-24 16:30:00,12.0,286
569,2021-07-24 17:30:00,10.0,77
570,2021-07-24 18:30:00,7.0,145
571,2021-07-24 19:30:00,8.0,0
572,2021-07-24 20:30:00,8.0,0
573,2021-07-24 21:30:00,7.0,0
574,2021-07-24 22:30:00,8.0,0
575,2021-07-24 23:30:00,7.0,0
576,2021-07-25 00:30:00,8.0,0
577,2021-07-25 01:30:00,6.0,0
578,2021-07-25 02:30:00,6.0,0
579,2021-07-25 03:30:00,5.0,0
580,2021-07-25 04:30:00,3.0,0
581,2021-07-25 05:30:00,3.0,150
582,2021-07-25 06:30:00,3.0,438
583,2021-07-25 07:30:00,7.0,603
584,2021-07-25 08:30:00,7.0,699
585,2021-07-25 09:30:00,6.0,679
586,2021-07-25 10:30:00,8.0,695
587,2021-07-25 11:30:00,8.0,778
588,2021-07-25 12:30:00,10.0,746
589,2021-07-25 13:30:00,13.0,432
590,2021-07-25 14:30:00,12.0,61
591,2021-07-25 15:30:00,12.0,273
592,2021-07-25 16:30:00,12.0,513
593,2021-07-25 17:30:00,10.0,425
594,2021-07-25 18:30:00,10.0,61
595,2021-07-25 19:30:00,8.0,0
596,2021-07-25 20:30:00,7.0,0
597,2021-07-25 21:30:00,3.0,0
598,2021-07-25 22:30:00,6.0,0
599,2021-07-25 23:30:00,0.0,0
600,2021-07-26 00:30:00,6.0,0
601,2021-07-26 01:30:00,5.0,0
602,2021-07-26 02:30:00,9.0,0
603,2021-07-26 03:30:00,3.0,0
604,2021-07-26 04:30:00,3.0,0
605,2021-07-26 05:30:00,0.0,0
606,2021-07-26 06:30:00,8.0,38
607,2021-07-26 07:30:00,7.0,96
608,2021-07-26 08:30:00,0.0,87
609,2021-07-26 09:30:00,5.0,55
610,2021-07-26 10:30:00,6.0,29
611,2021-07-26 11:30:00,3.0,34
612,2021-07-26 12:30:00,10.0,37
613,2021-07-26 13:30:00,5.0,118
614,2021-07-26 14:30:00,9.0,209
615,2021-07-26 15:30:00,8.0,718
616,2021-07-26 16:30:00,9.0,657
617,2021-07-26 17:30:00,9.0,511
618,2021-07-26 18:30:00,9.0,198
619,2021-07-26 19:30:00,8.0,0
620,2021-07-26 20:30:00,7.0,0
621,2021-07-26 21:30:00,6.0,0
622,2021-07-26 22:30:00,0.0,0
623,2021-07-26 23:30:00,5.0,0
624,2021-07-27 00:30:00,0.0,0
625,2021-07-27 01:30:00,0.0,0
626,2021-07-27 02:30:00,3.0,0
627,2021-07-27 03:30:00,3.0,0
628,2021-07-27 04:30:00,3.0,0
629,2021-07-27 05:30:00,3.0,213
630,2021-07-27 06:30:00,5.0,540
631,2021-07-27 07:30:00,3.0,693
632,2021-07-27 08:30:00,5.0,775
633,2021-07-27 09:30:00,6.0,828
634,2021-07-27 10:30:00,8.0,862
635,2021-07-27 11:30:00,8.0,877
636,2021-07-27 12:30:00,6.0,885
637,2021-07-27 13:30:00,8.0,883
638,2021-07-27 14:30:00,9.0,860
639,2021-07-27 15:30:00,8.0,813
640,2021-07-27 16:30:00,8.0,731
641,2021-07-27 17:30:00,10.0,574
642,2021-07-27 18:30:00,9.0,233
643,2021-07-27 19:30:00,10.0,0
644,2021-07-27 20:30:00,12.0,0
645,2021-07-27 21:30:00,7.0,0
646,2021-07-27 22:30:00,6.0,0
647,2021-07-27 23:30:00,5.0,0
648,2021-07-28 00:30:00,0.0,0
649,2021-07-28 01:30:00,3.0,0
650,2021-07-28 02:30:00,0.0,0
651,2021-07-28 03:30:00,0.0,0
652,2021-07-28 04:30:00,3.0,0
653,2021-07-28 05:30:00,5.0,180
654,2021-07-28 06:30:00,0.0,505
655,2021-07-28 07:30:00,0.0,675
656,2021-07-28 08:30:00,3.0,771
657,2021-07-28 09:30:00,3.0,836
658,2021-07-28 10:30:00,3.0,878
659,2021-07-28 11:30:00,6.0,893
660,2021-07-28 12:30:00,10.0,894
661,2021-07-28 13:30:00,10.0,882
662,2021-07-28 14:30:00,10.0,859
663,2021-07-28 15:30:00,10.0,813
664,2021-07-28 16:30:00,9.0,738
