,Unnamed: 0,airspeed,battery_hours_val,length,diameter,S_solar,score
258,256,9,85,44.94370689068221,7.869842019020988,212.39891797180323,-0.0
259,281,10,60,45.31820762127684,7.47280130373496,265.97820159306195,-0.0
260,233,8,120,45.61855129342992,7.991359454353475,160.13431089812275,-0.0
261,282,10,65,46.56484170186725,7.968803720482983,291.4346165647495,-0.0
263,257,9,90,46.75702040546667,8.163977487218757,226.5593012439159,-0.0
264,234,8,125,46.90891358056686,8.200154909561508,167.37539068895245,-0.0
265,235,8,130,48.19562680122054,8.408563567399861,174.76378371810804,-0.0
266,283,10,70,48.384139531932675,8.421355286540543,318.1223944715345,-0.0
267,258,9,95,48.56402757423646,8.457424705658243,241.1335725504496,-0.0
268,236,8,135,49.47882030449067,8.616584189922852,182.29803855206893,-0.0
269,259,9,100,50.36487423196447,8.750156035752644,256.11512396909853,-0.0
270,237,8,140,50.7586090396653,8.824216138999642,189.97673856017877,-0.0
271,284,10,75,50.82528652411875,8.818811620391791,345.65528106033986,-0.0
273,238,8,145,52.0350959925982,9.0314593111904,197.7985017494098,-0.0
274,260,9,105,52.15969391530136,9.042151188435485,271.49766292127117,-0.0
275,285,10,80,53.25577705184135,9.21489680891048,374.18408474448233,-0.0
276,239,8,150,53.30837412515134,9.238314075085064,205.76198036389744,-0.0
277,261,9,110,53.948611599688746,9.333395850128818,287.27519357533316,-0.0
278,286,10,85,55.67574893805575,9.60956403199011,403.68756659225573,-0.0
279,262,9,115,55.73174613512748,9.623880573784398,303.4419988273484,-0.0
280,263,9,120,57.50921182043558,9.913599878902366,319.99262304294007,-0.0
281,287,10,90,58.08536852855535,10.002786649007264,434.1459833487769,-0.0
282,264,9,125,59.2811194077308,10.202551517812266,336.92185567536563,-0.0
283,288,10,95,60.484824235235536,10.394553018742847,465.54093270110513,-0.0
284,265,9,130,61.0475767312486,10.490735875169024,354.2247158200542,-0.0
285,266,9,135,62.80868909016034,10.778155474834922,371.896437725814,-0.0
286,289,10,100,62.87432003718833,10.7848626863487,497.8552168346037,-0.0
287,267,9,140,64.5645594721595,11.064814573782638,389.9324572546443,-0.0
288,290,10,105,65.25407029332784,11.17372350724243,531.0727223894538,-0.0
289,268,9,145,66.31528870266295,11.350718831458186,408.3283993981452,-0.0
290,291,10,110,67.62429556737331,11.56114947109982,565.1783148224098,-0.0
291,269,9,150,68.06097543750926,11.635875020853325,427.0800662107799,-0.0
292,292,10,115,69.98521932794158,11.947159048235186,600.157745390902,-0.0
293,293,10,120,72.33706539248146,12.331773930557286,635.997569237735,-0.0
294,294,10,125,74.68005597162423,12.715018069951586,672.6850730842293,-0.0
295,295,10,130,77.01441019504857,13.09691694224026,710.208211250286,-0.0
296,296,10,135,79.34034302531242,13.4774969843734,748.5555489402947,-0.0
297,297,10,140,81.65806447581092,13.856785164110228,787.7162118231445,-0.0
298,298,10,145,83.96777906779653,14.234808651837175,827.6798410913057,-0.0
299,299,10,150,86.26968547374435,14.611594571312605,868.4365532941599,-0.0
300,326,11,135,93.28918078170447,9.063795091974177,686.4120005329542,-0.0
301,374,13,75,98.63450270097697,4.468280107102488,589.2386249809986,-0.0
303,302,11,15,100.00000099955908,5.597139763112721,440.88752297844275,-0.0
304,303,11,20,100.00000099955966,5.6293145238658715,443.481888080092,-0.0
305,304,11,25,100.000000999561,5.685369993021103,447.9876133673336,-0.0
306,305,11,30,100.00000099956354,5.786867727298777,456.1281094657525,-0.0
307,306,11,35,100.00000099956809,5.964826619822087,470.3940090557939,-0.0
308,307,11,40,100.00000099957548,6.238506974127059,492.3754426993717,-0.0
309,308,11,45,100.0000009995858,6.595591939104502,521.1845245406629,-0.0
310,309,11,50,100.00000099959856,7.009712480688464,554.8168333950986,-0.0
311,310,11,55,100.00000099961328,7.460494841098636,591.7283908961658,-0.0
312,311,11,60,100.00000099962956,7.936029496914021,631.0358759488533,-0.0
313,312,11,65,100.00000099964709,8.42981157019233,672.2805453001844,-0.0
314,330,12,5,100.00000099965504,5.0890910784102195,509.9253963647883,-0.0
315,331,12,10,100.0000009996557,5.121791980677597,513.2792451413393,-0.0
316,332,12,15,100.00000099965706,5.188482210412971,520.0897812650579,-0.0
317,333,12,20,100.00000099966005,5.3304115923876125,534.5492522600886,-0.0
318,313,11,70,100.0000009996656,8.938317901667316,715.240488254733,-0.0
319,334,12,25,100.0000009996662,5.609172103176534,562.9583930897193,-0.0
320,335,12,30,100.0000009996765,6.035892536906852,606.628031157165,-0.0
321,314,11,75,100.00000099968528,9.45967023512823,759.82739632198,-0.0
322,336,12,35,100.0000009996904,6.561519663145558,660.8321515130189,-0.0
323,315,11,80,100.0000009997051,9.992946722115018,806.0339672624857,-0.0
324,337,12,40,100.00000099970713,7.143413955015027,721.4506093392348,-0.0
325,316,11,85,100.00000099972588,10.537815982277792,853.906596365104,-0.0
326,338,12,45,100.00000099972593,7.759964480387671,786.452643056093,-0.0
327,360,13,5,100.00000099973568,4.706431573329386,589.1471720422849,-0.0
328,361,13,10,100.0000009997375,4.805388511866805,601.7458719895072,-0.0
329,362,13,15,100.00000099974224,5.058425136863109,633.9052313379957,-0.0
330,339,12,50,100.0000009997465,8.40125331011218,854.979237390669,-0.0
331,317,11,90,100.00000099974709,11.0943449669292,903.5318453790514,-0.0
332,363,13,20,100.0000009997524,5.546831404569247,696.183110504064,-0.0
333,318,11,95,100.00000099976376,11.653606527282829,954.417481492634,-0.0
334,364,13,25,100.0000009997679,6.2015699879807755,780.3904233238643,-0.0
335,340,12,55,100.00000099976856,9.062773889992396,926.7237436582128,-0.0
336,341,12,60,100.00000099978551,9.752773733698293,1003.2869366545792,-0.0
337,365,13,30,100.00000099978745,6.939263935818989,876.4501806282623,-0.0
338,319,11,100,100.00000099978809,12.267391056680928,1011.267755659866,-0.0
339,366,13,35,100.00000099980196,7.707418512337542,978.3767159919348,-0.0
340,390,14,5,100.00000099980622,4.425351871512896,681.3350441886163,-0.0
341,391,14,10,100.00000099981156,4.735332622883636,729.7367465719956,-0.0
342,342,12,65,100.00000099981212,10.49789719449508,1087.4311828729394,-0.0
343,320,11,105,100.00000099981332,12.896322394518174,1070.6723694867906,-0.0
344,392,14,15,100.00000099982466,5.39013835895121,832.4644729539568,-0.0
345,367,13,40,100.00000099982908,8.593615813252738,1098.2313906893694,-0.0
346,393,14,20,100.00000099983625,6.203744790652827,961.942409288104,-0.0
347,321,11,110,100.00000099983971,13.541959242352464,1132.9377319770747,-0.0
348,343,12,70,100.00000099984044,11.263303887896557,1175.75195393818,-0.0
349,368,13,45,100.00000099985948,9.508063270914327,1224.7453775945548,-0.0
350,394,14,25,100.00000099986362,7.253802378331102,1132.275271314246,-0.0
351,322,11,115,100.0000009998677,14.206158890283922,1198.4289819708572,-0.0
352,344,12,75,100.00000099987103,12.051147224695525,1268.8110223339845,-0.0
353,420,15,5,100.00000099987264,4.296588864831699,802.7666782166013,-0.0
354,421,15,10,100.00000099988668,5.018113978508011,939.777438547892,-0.0
355,369,13,50,100.00000099989369,10.452304636318658,1358.7138061958185,-0.0
356,395,14,30,100.00000099989724,8.351665382875618,1314.7869017935034,-0.0
357,323,11,120,100.00000099989788,14.891140197969468,1267.5845441988777,-0.0
358,422,15,15,100.00000099990348,6.113514842936121,1151.9400154227146,-0.0
